"","rated","turns","victory_status","winner","white_id","white_rating","black_id","black_rating","opening_name"
"218","TRUE",104,"resign","black","taranga",1288,"moon50",1454,"Petrov's Defense"
"219","TRUE",40,"mate","black","moon50",1560,"taranga",1270,"Queen's Gambit Refused"
"220","TRUE",44,"mate","black","taranga",1274,"moon50",1534,"Sicilian Defense"
"221","TRUE",150,"draw","draw","taranga",1259,"moon50",1663,"Italian Game"
"222","TRUE",60,"mate","black","trotil45",1614,"taranga",1238,"Queen's Pawn Game"
"232","FALSE",55,"resign","black","thegrim123321",1384,"sam7neeee",1950,"Zukertort Opening"
"234","TRUE",53,"resign","white","kingestee33",1375,"thegrim123321",1389,"King's Pawn Game"
"238","TRUE",87,"mate","white","thegrim123321",1369,"danilo1961",1368,"Russian Game"
"241","TRUE",24,"resign","white","thekingdomcome",1361,"thegrim123321",1383,"Van't Kruijs Opening"
"242","TRUE",23,"resign","white","rookreversal",1217,"thegrim123321",1399,"English Opening"
"246","TRUE",29,"resign","black","thegrim123321",1389,"dantesmontecristo",1339,"King's Pawn Game"
"253","FALSE",87,"mate","white","lanas2007",1714,"thegrim123321",1360,"Ruy Lopez"
"257","TRUE",105,"resign","white","thegrim123321",1336,"an73r05",1287,"King's Indian Attack"
"261","TRUE",110,"resign","black","tutubelezza",1426,"eideral",1527,"French Defense"
"263","FALSE",95,"mate","white","eideral",1557,"maumau62",1607,"Nimzo-Indian Defense"
"264","FALSE",70,"mate","black","maumau62",1607,"eideral",1557,"Bird Opening"
"293","TRUE",72,"resign","white","nadanadora",1611,"googol100",1478,"Sicilian Defense"
"294","TRUE",40,"mate","black","googol100",1486,"nadanadora",1552,"King's Pawn Game"
"295","TRUE",29,"mate","white","nadanadora",1453,"googol100",1496,"Modern Defense"
"307","FALSE",78,"mate","black","dimalesh",1475,"doom12384",1605,"Hungarian Opening"
"308","FALSE",77,"mate","white","doom12384",1605,"dimalesh",1475,"Bird Opening"
"309","FALSE",70,"mate","black","dimalesh",1475,"doom12384",1605,"King's Pawn Opening"
"311","FALSE",102,"resign","black","doom12384",1605,"jejeh",1500,"Bird Opening"
"312","FALSE",21,"resign","white","jejeh",1500,"doom12384",1605,"Four Knights Game"
"313","FALSE",33,"resign","white","doom12384",1605,"jejeh",1500,"Bird Opening"
"393","TRUE",15,"mate","white","rfabian",1476,"spikyturtle",1367,"Owen Defense"
"394","TRUE",52,"resign","black","spikyturtle",1376,"rfabian",1469,"Van't Kruijs Opening"
"395","TRUE",65,"mate","white","rfabian",1460,"spikyturtle",1386,"Owen Defense"
"404","FALSE",47,"resign","white","deekay17",959,"jutton1",1357,"Creepy Crawly Formation"
"405","FALSE",53,"resign","white","jutton1",1357,"deekay17",959,"Queen's Pawn Game"
"406","FALSE",76,"mate","black","deekay17",959,"jutton1",1357,"Creepy Crawly Formation"
"422","TRUE",47,"resign","white","sergipechess",1863,"kyanh",1567,"Alekhine Defense"
"433","TRUE",57,"resign","white","kyanh",1536,"trippinboris",1962,"Trompowsky Attack"
"441","TRUE",195,"draw","draw","kyanh",1496,"tossinov",1703,"London System"
"442","TRUE",56,"resign","black","martinlutherking",1482,"kyanh",1484,"Scandinavian Defense"
"450","TRUE",36,"mate","black","kyanh",1500,"checkerssux",1501,"Indian Game"
"454","TRUE",38,"resign","white","bud4la",1529,"fischerdipper",1639,"French Defense"
"455","TRUE",107,"resign","white","fischerdipper",1631,"bud4la",1537,"Philidor Defense"
"456","TRUE",42,"resign","black","bud4la",1546,"fischerdipper",1621,"Sicilian Defense"
"467","TRUE",74,"mate","black","adhen",1769,"fischerdipper",1659,"English Opening"
"468","TRUE",54,"mate","black","fischerdipper",1668,"adhen",1761,"Horwitz Defense"
"469","TRUE",85,"resign","white","adhen",1752,"fischerdipper",1677,"English Opening"
"470","TRUE",38,"resign","black","fischerdipper",1688,"adhen",1743,"Sicilian Defense"
"474","TRUE",64,"resign","black","coco31",1142,"fischerdipper",1679,"Queen's Pawn Game"
"475","TRUE",15,"mate","white","fischerdipper",1678,"coco31",1148,"Danish Gambit Accepted"
"476","TRUE",40,"resign","black","coco31",1154,"fischerdipper",1676,"Mieses Opening"
"477","TRUE",128,"draw","draw","fischerdipper",1686,"coco31",1098,"Carr Defense"
"478","TRUE",48,"resign","black","coco31",1102,"fischerdipper",1685,"Polish Opening"
"479","TRUE",51,"mate","white","fischerdipper",1684,"coco31",1107,"French Defense"
"482","TRUE",58,"mate","black","spinola01",1709,"fischerdipper",1681,"Horwitz Defense"
"483","TRUE",60,"resign","black","fischerdipper",1692,"spinola01",1699,"Bird Opening"
"484","TRUE",40,"resign","white","spinola01",1688,"fischerdipper",1704,"English Opening"
"485","TRUE",29,"outoftime","white","fischerdipper",1699,"karabas",1497,"English Opening"
"491","TRUE",47,"resign","black","fischerdipper",1707,"dinnei",1696,"English Opening"
"492","TRUE",23,"resign","white","dinnei",1684,"fischerdipper",1720,"Queen's Gambit Refused"
"493","TRUE",78,"mate","black","fischerdipper",1733,"dinnei",1672,"English Opening"
"494","TRUE",35,"mate","white","fischerdipper",1721,"koljan",1736,"King's Indian Defense"
"495","TRUE",53,"resign","white","koljan",1724,"fischerdipper",1733,"King's Indian Attack"
"496","TRUE",120,"mate","black","fischerdipper",1746,"koljan",1712,"English Opening"
"572","FALSE",101,"resign","white","thebadfish",2008,"roman12342005",1954,"English Opening"
"573","FALSE",35,"resign","black","roman12342005",1954,"thebadfish",2008,"Sicilian Defense"
"574","FALSE",54,"resign","black","thebadfish",2008,"roman12342005",1954,"English Opening"
"575","FALSE",116,"resign","black","roman12342005",1954,"thebadfish",2008,"Nimzo-Larsen Attack"
"583","TRUE",161,"mate","white","roman12342005",1960,"selami011235",1868,"Nimzo-Larsen Attack"
"584","TRUE",88,"resign","black","roman12342005",1964,"kingscrusher-youtube",2287,"Nimzowitsch Defense"
"594","TRUE",31,"resign","white","elcortez",1265,"roman12342005",1957,"Nimzowitsch Defense"
"597","FALSE",62,"mate","black","total_chess",2050,"mr_pablo",1627,"Reti Opening"
"598","FALSE",62,"resign","black","mr_pablo",1627,"total_chess",2050,"French Defense"
"599","FALSE",42,"mate","black","total_chess",2050,"mr_pablo",1627,"Zukertort Opening"
"600","FALSE",42,"resign","black","mr_pablo",1627,"total_chess",2050,"Alekhine Defense"
"605","FALSE",73,"mate","white","caernarfon",1901,"snaek161616",1164,"Ruy Lopez"
"606","FALSE",35,"mate","white","snaek161616",1164,"a_raccoon",1435,"Scandinavian Defense"
"607","FALSE",71,"outoftime","white","a_raccoon",1435,"snaek161616",1164,"Italian Game"
"608","FALSE",46,"resign","white","snaek161616",1164,"a_raccoon",1435,"Four Knights Game"
"609","FALSE",52,"resign","black","snaek161616",1164,"caernarfon",1901,"Four Knights Game"
"612","FALSE",49,"resign","white","caernarfon",1866,"snaek161616",1099,"Slav Defense"
"615","FALSE",41,"resign","white","caernarfon",1834,"snaek161616",1500,"Philidor Defense"
"616","FALSE",46,"resign","black","snaek161616",1500,"caernarfon",1834,"Richter-Veresov Attack"
"632","FALSE",49,"mate","white","ca-va-lier",1590,"ntam",1100,"Philidor Defense"
"633","FALSE",34,"mate","black","ntam",1100,"ca-va-lier",1590,"Zukertort Opening"
"639","TRUE",50,"resign","black","thelordoftheboard",2373,"chesscarl",2356,"Sicilian Defense"
"650","TRUE",28,"resign","black","vchess4",1866,"chesscarl",2309,"Zukertort Opening"
"662","TRUE",34,"resign","black","klemi",1796,"chesscarl",2235,"Indian Game"
"675","TRUE",100,"resign","black","thorfabian",1774,"chesscarl",2071,"Sicilian Defense"
"676","TRUE",10,"resign","black","thorfabian",1778,"chesscarl",2059,"Sicilian Defense"
"677","TRUE",49,"resign","black","thorfabian",1783,"chesscarl",2045,"Sicilian Defense"
"678","TRUE",100,"mate","black","thorfabian",1788,"chesscarl",2029,"Sicilian Defense"
"715","TRUE",34,"resign","black","blazingheart",1387,"wiggleitjiggleit",1457,"King's Indian Defense"
"716","TRUE",122,"resign","black","imlimbad",1417,"wiggleitjiggleit",1447,"Queen's Pawn Game"
"717","TRUE",51,"mate","white","wiggleitjiggleit",1436,"simplymaster",1439,"Semi-Slav Defense"
"719","TRUE",30,"resign","black","antitexnik",1318,"wiggleitjiggleit",1448,"Italian Game"
"720","TRUE",79,"outoftime","white","wiggleitjiggleit",1437,"simplymaster",1446,"Caro-Kann Defense"
"722","TRUE",78,"resign","black","vkmansftw",1308,"wiggleitjiggleit",1441,"Vienna Game"
"745","TRUE",70,"resign","black","brunozaurus",1645,"slon-al",1806,"Budapest Defense"
"752","TRUE",59,"mate","white","slon-al",1800,"safin_241",1831,"Scandinavian Defense"
"753","TRUE",77,"resign","white","safin_241",1820,"slon-al",1814,"Nimzo-Larsen Attack"
"754","TRUE",76,"outoftime","black","slon-al",1830,"safin_241",1809,"Scandinavian Defense"
"768","TRUE",99,"resign","white","amir2002zzz",2432,"mohmohcom2",2213,"Modern Defense"
"770","TRUE",153,"draw","draw","amir2002zzz",2428,"fairygirl",2360,"Benoni Defense"
"771","TRUE",112,"resign","black","mandre",2208,"amir2002zzz",2421,"System"
"779","TRUE",42,"resign","white","per1966",1719,"saviter",1679,"Queen's Gambit Declined"
"780","TRUE",42,"mate","black","saviter",1689,"per1966",1670,"Sicilian Defense"
"781","TRUE",59,"resign","white","gdf1981",1672,"saviter",1701,"Sicilian Defense"
"783","TRUE",31,"resign","black","saviter",1706,"ilkerk",1698,"Sicilian Defense"
"784","TRUE",107,"outoftime","white","ilkerk",1687,"saviter",1717,"Queen's Gambit Declined"
"791","TRUE",23,"resign","white","mhamed_basti",1833,"saviter",1740,"Italian Game"
"792","TRUE",118,"outoftime","black","andyfi",1433,"saviter",1737,"Queen's Pawn Game"
"796","TRUE",56,"mate","black","cris36",1605,"saviter",1698,"Van't Kruijs Opening"
"797","TRUE",71,"mate","white","saviter",1690,"cris36",1613,"French Defense"
"798","TRUE",48,"mate","black","cris36",1622,"saviter",1681,"Van't Kruijs Opening"
"800","TRUE",33,"resign","white","evianwahter",1568,"saviter",1696,"Sicilian Defense"
"806","TRUE",54,"resign","black","leps000",1705,"saviter",1719,"Ruy Lopez"
"807","TRUE",75,"outoftime","white","saviter",1709,"leps000",1716,"Nimzowitsch Defense"
"810","TRUE",49,"resign","white","majorwarren",1706,"saviter",1695,"Sicilian Defense"
"811","TRUE",67,"resign","white","saviter",1683,"majorwarren",1717,"Philidor Defense"
"812","TRUE",73,"resign","white","majorwarren",1707,"saviter",1693,"Queen's Pawn Game"
"816","TRUE",16,"resign","black","saviter",1730,"a_th-19",1882,"Sicilian Defense"
"829","FALSE",21,"resign","white","ducksandcats",1821,"duckduckcow",1832,"Caro-Kann Defense"
"830","FALSE",48,"mate","black","duckduckcow",1832,"ducksandcats",1821,"Caro-Kann Defense"
"831","FALSE",89,"draw","draw","ducksandcats",1821,"duckduckcow",1832,"Caro-Kann Defense"
"832","FALSE",31,"mate","white","duckduckcow",1832,"ducksandcats",1821,"Caro-Kann Defense"
"844","TRUE",92,"resign","black","ducksandcats",1867,"2700172",1883,"Scotch Game"
"846","TRUE",98,"resign","black","chess_pro_107",1922,"ducksandcats",1851,"Slav Defense"
"847","TRUE",24,"mate","black","ducksandcats",1861,"chess_pro_107",1899,"Caro-Kann Defense"
"850","FALSE",85,"resign","white","ducksandcats",1878,"jtg2016",1906,"Sicilian Defense"
"853","TRUE",124,"draw","draw","axela",1806,"ducksandcats",1875,"Slav Defense"
"854","TRUE",61,"resign","white","ducksandcats",1864,"bobbytal",1842,"Sicilian Defense"
"855","TRUE",66,"outoftime","black","bobbytal",1853,"ducksandcats",1853,"Scandinavian Defense"
"857","TRUE",49,"resign","white","ducksandcats",1832,"wall-of-shields",1696,"Rat Defense"
"858","TRUE",42,"mate","black","wall-of-shields",1704,"ducksandcats",1824,"English Opening"
"859","TRUE",32,"resign","black","ducksandcats",1841,"wall-of-shields",1688,"Rat Defense"
"860","TRUE",70,"resign","black","wall-of-shields",1695,"ducksandcats",1834,"Bird Opening"
"861","TRUE",52,"resign","black","ducksandcats",1851,"wall-of-shields",1679,"Rat Defense"
"862","TRUE",18,"resign","black","duckduckfrog",1527,"smartduckduckcow",1882,"King's Pawn Game"
"864","TRUE",54,"mate","black","abolfazl1386",1500,"smartduckduckcow",1901,"Slav Defense"
"867","TRUE",26,"mate","black","duckduckfrog",1545,"smartduckduckcow",1890,"King's Pawn Game"
"869","FALSE",115,"draw","draw","sunwatair57",1923,"smartduckduckcow",1887,"Queen's Pawn Game"
"874","TRUE",65,"resign","black","mouhieddine",1803,"christina-a-11",2215,"Queen's Indian Defense"
"875","TRUE",29,"resign","white","christina-a-11",2210,"mouhieddine",1805,"Philidor Defense"
"876","TRUE",26,"resign","black","mouhieddine",1807,"christina-a-11",2205,"Indian Game"
"877","TRUE",43,"resign","white","christina-a-11",2200,"mouhieddine",1810,"Ruy Lopez"
"943","FALSE",55,"outoftime","white","chess-brahs",1950,"ya_boy_agent",2212,"Amar Opening"
"944","FALSE",49,"resign","white","chess-brahs",1950,"adei",1226,"Zukertort Opening"
"945","FALSE",78,"mate","black","chess-brahs",1950,"lcf64",1885,"King's Indian Attack"
"946","FALSE",29,"draw","draw","chess-brahs",1950,"hugomazochi",2204,"Reti Opening"
"947","FALSE",65,"draw","draw","chess-brahs",1950,"responsible_peach",1500,"Reti Opening"
"948","FALSE",66,"draw","draw","chess-brahs",1950,"berkaybahadr",1819,"King's Indian Attack"
"949","FALSE",112,"draw","draw","chess-brahs",1950,"aks_oks",1477,"Zukertort Opening"
"950","FALSE",70,"draw","draw","chess-brahs",1950,"adn_bravo88",1500,"King's Indian Attack"
"951","TRUE",50,"resign","black","chess-brahs",2036,"cdvh",1706,"King's Indian Attack"
"952","FALSE",40,"resign","black","turkchessboy123",1795,"chess-brahs",2036,"Sicilian Defense"
"953","TRUE",33,"mate","white","chess-brahs",2023,"arda2828",1671,"Zukertort Opening"
"954","TRUE",30,"mate","black","arda2828",1675,"chess-brahs",2008,"Sicilian Defense"
"955","TRUE",53,"mate","white","chess-brahs",1990,"arda2828",1678,"Zukertort Opening"
"956","FALSE",30,"draw","draw","chess-brahs",1990,"corol",1465,"King's Indian Attack"
"957","FALSE",11,"draw","draw","chess-brahs",1990,"msexeter",1756,"Zukertort Opening"
"959","FALSE",67,"draw","draw","chess-brahs",1990,"factionmaster",1447,"Zukertort Opening"
"960","TRUE",41,"resign","black","bugzzila",1458,"chess-brahs",1980,"Hungarian Opening"
"961","TRUE",28,"resign","white","chess-brahs",1967,"bugzzila",1500,"Zukertort Opening"
"962","FALSE",52,"resign","white","chess-brahs",1967,"swordswiper",1295,"King's Indian Attack"
"963","FALSE",30,"resign","black","tomerari",2102,"chess-brahs",1967,"Sicilian Defense"
"977","FALSE",26,"resign","black","aidenleahycrooks",1625,"ahmadirr",1657,"Sicilian Defense"
"990","FALSE",75,"resign","white","maxwell_can",2203,"aidenleahycrooks",1862,"Ruy Lopez"
"991","FALSE",36,"resign","black","aidenleahycrooks",1862,"maxwell_can",2203,"Sicilian Defense"
"994","FALSE",21,"resign","white","deadintheend",1708,"aidenleahycrooks",1862,"Russian Game"
"1021","FALSE",83,"resign","white","jonhnyorion",1500,"vudo1012",1500,"French Defense"
"1022","FALSE",66,"resign","white","vudo1012",1500,"jonhnyorion",1500,"Scotch Game"
"1023","FALSE",89,"resign","white","jonhnyorion",1500,"vudo1012",1500,"French Defense"
"1024","FALSE",129,"draw","draw","vudo1012",1500,"jonhnyorion",1500,"Van't Kruijs Opening"
"1025","FALSE",27,"resign","white","jonhnyorion",1500,"vudo1012",1500,"Owen Defense"
"1026","FALSE",76,"resign","white","jonhnyorion",1500,"vudo1012",1500,"Owen Defense"
"1035","FALSE",107,"outoftime","white","mrphaseolusvulgaris",1712,"lanas2007",1714,"Scotch Game"
"1037","FALSE",72,"resign","black","arrchess",1705,"mrphaseolusvulgaris",1712,"Sicilian Defense"
"1040","FALSE",51,"resign","black","mrphaseolusvulgaris",1712,"seciyeli",1615,"Scandinavian Defense"
"1041","FALSE",60,"resign","black","mrphaseolusvulgaris",1712,"deadintheend",1708,"Elephant Gambit"
"1043","FALSE",70,"resign","black","soultego",2108,"mrphaseolusvulgaris",1712,"Colle System"
"1066","FALSE",72,"resign","white","ranko898",2065,"superhero098",1976,"Sicilian Defense"
"1067","TRUE",63,"resign","white","cuxhaven",1976,"superhero098",1988,"Sicilian Defense"
"1068","TRUE",141,"resign","white","superhero098",1976,"cuxhaven",1987,"King's Knight Opening"
"1069","TRUE",92,"mate","black","soosi98",2035,"superhero098",1961,"Benoni Defense"
"1070","TRUE",64,"resign","black","superhero098",1975,"wqf7",1908,"Four Knights Game"
"1071","TRUE",90,"resign","black","zovar",1463,"superhero098",1974,"Zukertort Opening"
"1072","TRUE",70,"mate","black","superhero098",1997,"miqomanukyan2001",1480,"Center Game"
"1073","FALSE",68,"resign","black","adenildo",1950,"superhero098",1997,"Scandinavian Defense"
"1074","TRUE",63,"mate","white","emiliooo",2229,"superhero098",2002,"French Defense"
"1078","TRUE",102,"resign","black","superhero098",2013,"blablub",2274,"English Opening"
"1079","TRUE",87,"resign","white","superhero098",2008,"alfredgjoncari",1744,"English Opening"
"1082","TRUE",33,"resign","white","superhero098",1982,"ramonsantana44",1917,"English Opening"
"1114","TRUE",38,"resign","black","karmaboanil",1729,"s-a",1894,"Bird Opening"
"1118","TRUE",72,"mate","black","ezzdinus",1784,"s-a",1897,"Sicilian Defense"
"1125","TRUE",80,"resign","black","wikiplayschess",1672,"s-a",1890,"Benoni Defense"
"1141","TRUE",114,"mate","black","erik_manukyan",1522,"bekzodjon",1727,"Italian Game"
"1142","TRUE",107,"mate","white","bekzodjon",1708,"erik_manukyan",1528,"Queen's Pawn Game"
"1143","TRUE",92,"mate","black","bekzodjon",1744,"carrotop",1770,"Italian Game"
"1144","TRUE",63,"mate","white","carrotop",1759,"bekzodjon",1790,"Vienna Game"
"1149","TRUE",55,"mate","white","sansavoirvecu",1791,"bekzodjon",1716,"Queen's Pawn Game"
"1189","TRUE",48,"resign","black","kaushik007",1534,"egor-220",1581,"Queen's Gambit Declined"
"1190","TRUE",57,"mate","white","egor-220",1547,"kaushik007",1564,"Italian Game"
"1191","TRUE",75,"resign","black","kaushik007",1602,"egor-220",1502,"Van't Kruijs Opening"
"1192","TRUE",99,"resign","white","egor-220",1444,"kaushik007",1651,"Italian Game"
"1202","TRUE",63,"resign","white","izzlanfarischess",2053,"leoilan",1914,"King's Pawn Game"
"1203","TRUE",67,"resign","white","izzlanfarischess",2021,"leoilan",1921,"King's Pawn Game"
"1204","TRUE",40,"resign","black","leoilan",1930,"izzlanfarischess",1979,"King's Pawn Game"
"1205","TRUE",80,"resign","black","bobc",2000,"izzlanfarischess",1908,"King's Indian Attack"
"1252","FALSE",54,"mate","black","bamarillobiller",1199,"axelpro446",1501,"Queen's Pawn Game"
"1253","FALSE",137,"mate","white","axelpro446",1501,"bamarillobiller",1199,"Italian Game"
"1254","FALSE",81,"mate","white","bamarillobiller",1199,"axelpro446",1501,"Queen's Pawn Game"
"1267","FALSE",130,"draw","draw","axelpro446",1501,"hunnyman",1760,"French Defense"
"1284","FALSE",85,"resign","white","jejeh",1500,"axelpro446",1501,"Four Knights Game"
"1362","TRUE",31,"resign","white","fortuna01",1563,"thelostunicorn",1318,"Sicilian Defense"
"1363","TRUE",30,"mate","black","thelostunicorn",1327,"ringhals",1420,"Sicilian Defense"
"1364","TRUE",87,"mate","white","ringhals",1412,"thelostunicorn",1337,"English Opening"
"1365","FALSE",43,"resign","white","thelostunicorn",1337,"tscheezel",1382,"Sicilian Defense"
"1366","FALSE",60,"resign","black","tscheezel",1382,"thelostunicorn",1337,"Sicilian Defense"
"1367","FALSE",36,"mate","black","thelostunicorn",1337,"tscheezel",1382,"Sicilian Defense"
"1369","FALSE",56,"resign","black","dj822",1418,"tops123",2003,"Scandinavian Defense"
"1370","FALSE",44,"resign","black","tops123",2003,"dj822",1418,"Vienna Game"
"1371","FALSE",31,"resign","white","dj822",1418,"tops123",2003,"Caro-Kann Defense"
"1374","TRUE",18,"resign","white","juncinmestrella",1799,"sansebastian",1408,"Caro-Kann Defense"
"1379","TRUE",124,"resign","black","mhamed_basti",1766,"juncinmestrella",1819,"French Defense"
"1387","TRUE",98,"mate","black","vlada555",1834,"juncinmestrella",1848,"Queen's Pawn Game"
"1391","TRUE",104,"mate","black","nik221107",1526,"juncinmestrella",1830,"French Defense"
"1392","TRUE",168,"mate","black","vlada555",1843,"juncinmestrella",1818,"Queen's Pawn Game"
"1393","TRUE",154,"outoftime","black","juncinmestrella",1844,"sosnovsky",1713,"Sicilian Defense"
"1398","TRUE",71,"mate","white","juncinmestrella",1860,"selami011235",1800,"Sicilian Defense"
"1401","TRUE",77,"draw","draw","eraldii",1936,"juncinmestrella",1843,"French Defense"
"1402","TRUE",23,"resign","white","juncinmestrella",1842,"vkmansftw",1300,"Italian Game"
"1408","TRUE",78,"resign","black","juncinmestrella",1848,"sailor7",2098,"Sicilian Defense"
"1409","TRUE",74,"outoftime","black","alfredgjoncari",1789,"juncinmestrella",1838,"French Defense"
"1411","TRUE",60,"mate","black","benuard",1891,"juncinmestrella",1805,"French Defense"
"1415","TRUE",56,"outoftime","black","karmaboanil",1711,"juncinmestrella",1766,"Bird Opening"
"1420","TRUE",30,"draw","draw","neilgally",1211,"minecraftbook",1226,"Italian Game"
"1421","TRUE",50,"resign","black","minecraftbook",1243,"neilgally",1200,"King's Pawn Game"
"1422","TRUE",114,"mate","black","minecraftbook",1256,"melibea1964",1298,"Four Knights Game"
"1423","TRUE",42,"resign","black","melibea1964",1312,"minecraftbook",1237,"Giuoco Piano"
"1425","FALSE",108,"resign","white","conormac",1335,"minecraftbook",1237,"Ruy Lopez"
"1426","FALSE",55,"resign","white","minecraftbook",1237,"conormac",1335,"Mikenas Defense"
"1427","FALSE",79,"mate","white","conormac",1335,"minecraftbook",1237,"Russian Game"
"1431","TRUE",53,"resign","white","minecraftbook",1214,"marellik",1115,"Blackmar-Diemer Gambit"
"1444","TRUE",59,"mate","white","kachess10204542",1171,"quantummequanic",1432,"English Opening"
"1461","FALSE",39,"mate","white","trrrrillionaire",1426,"matty_sweetnuts",1500,"Sicilian Defense"
"1462","FALSE",64,"resign","black","matty_sweetnuts",1500,"trrrrillionaire",1426,"Sicilian Defense"
"1465","TRUE",56,"resign","black","gaspare954",1464,"trrrrillionaire",1413,"Hungarian Opening"
"1466","FALSE",39,"mate","white","trrrrillionaire",1413,"matty_sweetnuts",1500,"King's Pawn Game"
"1467","FALSE",62,"mate","black","matty_sweetnuts",1500,"trrrrillionaire",1413,"Pirc Defense"
"1469","FALSE",45,"resign","white","empiretemple",1688,"trrrrillionaire",1413,"English Opening"
"1476","TRUE",48,"resign","black","retep552",1259,"lolrager",1184,"Queen's Gambit Declined"
"1477","TRUE",67,"resign","white","lolrager",1162,"retep552",1273,"Tarrasch Defense"
"1478","TRUE",32,"resign","black","retep552",1288,"lolrager",1138,"Queen's Gambit Declined"
"1486","TRUE",98,"mate","black","zixi52",1753,"tokbora",1451,"Queen's Pawn Game"
"1487","TRUE",35,"mate","white","zixi52",1699,"tokbora",1457,"Queen's Pawn Game"
"1489","TRUE",75,"mate","white","zixi52",1500,"litvinartem",1545,"Queen's Pawn Game"
"1555","FALSE",59,"mate","white","academicninja99",1500,"eagle77",1170,"Center Game"
"1556","FALSE",82,"mate","black","eagle77",1170,"academicninja99",1500,"King's Pawn Game"
